subject,event_type,vox,magnitude,magnitude_ix,fwhm,fwhm_obj,time_to_peak,half_rise_time,half_max,rise_slope,onset_time,positive_area,undershoot,1st_deriv_magnitude,1st_deriv_time_to_peak,2nd_deriv_magnitude,2nd_deriv_time_to_peak
014,suppr_2,17,-0.05200687599786002,1569,4.239314698920086,<linescanning.fitting.FWHM object at 0x7fae138e2160>,6.237250000000001,4.35197698831792,-0.02600343799893001,-0.023957466935519135,3.2827324451712445,-0.21652707227679133,0.07282901306644135,0.008455964123519677,1.5017500000000004,0.010060341074801638,0.8927500000000004
014,suppr_2,18,-0.05200687599786002,1569,4.239314698920086,<linescanning.fitting.FWHM object at 0x7fae3d9208b0>,6.237250000000001,4.35197698831792,-0.02600343799893001,-0.023957466935519135,3.2827324451712445,-0.21652707227679133,0.07282901306644135,0.008455964123519677,1.5017500000000004,0.010060341074801638,0.8927500000000004
014,suppr_2,19,-0.21749931071939338,988,2.6732100865765784,<linescanning.fitting.FWHM object at 0x7fae138e29d0>,3.1870000000000003,1.8774441327209286,-0.10874965535969669,-0.12537167930589113,1.0078324529655498,-0.5747568663785619,0.6216274290263194,-0.1316875191809217,1.9007500000000004,-0.12399882323149036,1.0660000000000003
015,act,0,2.5889336568008945,1330,4.452223812782861,<linescanning.fitting.FWHM object at 0x7fae21dbeee0>,4.982500000000001,2.9170721378530295,1.2944668284004472,0.9737138494090716,1.586347955451529,11.507407886322094,3.929152509594758,1.0230038528730319,2.9245,0.6438074727155723,1.68025
015,act,1,2.6854109729796773,1308,4.426723883848318,<linescanning.fitting.FWHM object at 0x7fae3d9104c0>,4.867,2.8173930867803727,1.3427054864898387,1.0234405719155797,1.5047529464600211,11.861617964884227,4.062471788980104,1.0750007284858185,2.8195000000000006,0.693477173990253,1.5805000000000002
015,act,2,2.5020738536618192,1354,4.466447081908175,<linescanning.fitting.FWHM object at 0x7fae208d39d0>,5.1085,3.0313628250537623,1.2510369268309096,0.9331322966197783,1.688822611288833,11.162050267505798,3.8046768321460473,0.9807989328439533,3.0452500000000002,0.6070692889080362,1.7957500000000004
015,act,3,2.3595084381725555,1404,4.457653161062038,<linescanning.fitting.FWHM object at 0x7fae3d2c9c70>,5.371,3.301696054147608,1.1797542190862778,0.886086592478477,1.9689894528022687,10.497713757387745,3.581857255040725,0.9306537429511081,3.3130000000000006,0.5836678656979899,2.053
015,act,4,2.292135823222719,1368,4.469013169038011,<linescanning.fitting.FWHM object at 0x7fae3d2c98e0>,5.182,3.1043867831250394,1.1460679116113595,0.8532534514559528,1.7591650347885366,10.232610059501596,3.4866860823313197,0.8970886534460902,3.1240000000000006,0.5533636463762761,1.86925
015,act,5,2.30585176213246,1298,4.412026901732762,<linescanning.fitting.FWHM object at 0x7fae138ec9a0>,4.814500000000001,2.77693914602486,1.15292588106623,0.8852446248568991,1.4741869306096533,10.14909832532052,3.482140764387263,0.9295079877381909,2.7722500000000005,0.6070298619225909,1.5437500000000002
015,act,6,2.2865544432667155,1238,4.26402591601225,<linescanning.fitting.FWHM object at 0x7fae208d3220>,4.4995,2.5497535333808763,1.1432772216333578,0.9302934571791004,1.3218748942878122,9.719458981077205,3.401102638368534,0.9768601748611161,2.5307500000000003,0.6935919823026353,1.37575
015,act,7,1.9817477114163133,1192,4.084767127956297,<linescanning.fitting.FWHM object at 0x7fae208de490>,4.258,2.4042857816787673,0.9908738557081567,0.8509241335455966,1.2411559765772477,8.07120320598992,2.9103458792773216,0.8937293431258126,2.38375,0.6732449329530183,1.2865000000000002
015,act,8,1.7172412233277696,1140,3.804229913104496,<linescanning.fitting.FWHM object at 0x7fae208debb0>,3.9850000000000003,2.2566720480976987,0.8586206116638848,0.7890460516567865,1.169460529164678,6.514870963441226,2.5115246482153637,0.8287297851838531,2.242,0.6633790855522008,1.2182500000000003
